3.3014 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
66.7082 	EXP 	level_text: autoDraw = True
66.8523 	DATA 	Keypress: up
66.8587 	EXP 	question_text: autoDraw = False
66.8587 	EXP 	level_text: autoDraw = False
66.8587 	EXP 	level_text: text = 0.19952623149688736
66.8587 	EXP 	question_text: autoDraw = True
66.8587 	EXP 	level_text: autoDraw = True
67.0190 	DATA 	Keypress: up
67.0255 	EXP 	question_text: autoDraw = False
67.0255 	EXP 	level_text: autoDraw = False
67.0255 	EXP 	level_text: text = 0.22387211385683328
67.0255 	EXP 	question_text: autoDraw = True
67.0255 	EXP 	level_text: autoDraw = True
67.1680 	DATA 	Keypress: up
67.1753 	EXP 	question_text: autoDraw = False
67.1753 	EXP 	level_text: autoDraw = False
67.1753 	EXP 	level_text: text = 0.25118864315095724
67.1753 	EXP 	question_text: autoDraw = True
67.1753 	EXP 	level_text: autoDraw = True
67.3360 	DATA 	Keypress: up
67.3421 	EXP 	question_text: autoDraw = False
67.3421 	EXP 	level_text: autoDraw = False
67.3421 	EXP 	level_text: text = 0.2818382931264445
67.3421 	EXP 	question_text: autoDraw = True
67.3421 	EXP 	level_text: autoDraw = True
67.4803 	DATA 	Keypress: up
67.5089 	EXP 	question_text: autoDraw = False
67.5089 	EXP 	level_text: autoDraw = False
67.5089 	EXP 	level_text: text = 0.3162277660168369
67.5089 	EXP 	question_text: autoDraw = True
67.5089 	EXP 	level_text: autoDraw = True
67.6521 	DATA 	Keypress: up
67.6589 	EXP 	question_text: autoDraw = False
67.6589 	EXP 	level_text: autoDraw = False
67.6589 	EXP 	level_text: text = 0.35481338923357425
67.6589 	EXP 	question_text: autoDraw = True
67.6589 	EXP 	level_text: autoDraw = True
67.8195 	DATA 	Keypress: up
67.8260 	EXP 	question_text: autoDraw = False
67.8260 	EXP 	level_text: autoDraw = False
67.8260 	EXP 	level_text: text = 0.39810717055349587
67.8260 	EXP 	question_text: autoDraw = True
67.8260 	EXP 	level_text: autoDraw = True
67.9475 	DATA 	Keypress: up
67.9763 	EXP 	question_text: autoDraw = False
67.9763 	EXP 	level_text: autoDraw = False
67.9763 	EXP 	level_text: text = 0.44668359215096154
67.9763 	EXP 	question_text: autoDraw = True
67.9763 	EXP 	level_text: autoDraw = True
68.1201 	DATA 	Keypress: up
68.1264 	EXP 	question_text: autoDraw = False
68.1264 	EXP 	level_text: autoDraw = False
68.1264 	EXP 	level_text: text = 0.5011872336272705
68.1264 	EXP 	question_text: autoDraw = True
68.1264 	EXP 	level_text: autoDraw = True
68.2860 	DATA 	Keypress: up
68.2929 	EXP 	question_text: autoDraw = False
68.2929 	EXP 	level_text: autoDraw = False
68.2929 	EXP 	level_text: text = 0.562341325190347
68.2929 	EXP 	question_text: autoDraw = True
68.2929 	EXP 	level_text: autoDraw = True
68.4370 	DATA 	Keypress: up
68.4437 	EXP 	question_text: autoDraw = False
68.4437 	EXP 	level_text: autoDraw = False
68.4437 	EXP 	level_text: text = 0.6309573444801908
68.4437 	EXP 	question_text: autoDraw = True
68.4437 	EXP 	level_text: autoDraw = True
68.6041 	DATA 	Keypress: up
68.6102 	EXP 	question_text: autoDraw = False
68.6102 	EXP 	level_text: autoDraw = False
68.6102 	EXP 	level_text: text = 0.7079457843841351
68.6102 	EXP 	question_text: autoDraw = True
68.6102 	EXP 	level_text: autoDraw = True
69.3053 	DATA 	Keypress: up
69.3109 	EXP 	question_text: autoDraw = False
69.3109 	EXP 	level_text: autoDraw = False
69.3109 	EXP 	level_text: text = 0.7943282347242783
69.3109 	EXP 	question_text: autoDraw = True
69.3109 	EXP 	level_text: autoDraw = True
70.1210 	DATA 	Keypress: up
70.1283 	EXP 	question_text: autoDraw = False
70.1283 	EXP 	level_text: autoDraw = False
70.1283 	EXP 	level_text: text = 0.8912509381337418
70.1283 	EXP 	question_text: autoDraw = True
70.1283 	EXP 	level_text: autoDraw = True
87.4369 	DATA 	Mouse: Left button down, pos=(613,271)
87.5361 	DATA 	Mouse:  Left button up, pos=(613,271)
88.0235 	DATA 	Keypress: down
88.0297 	EXP 	question_text: autoDraw = False
88.0297 	EXP 	level_text: autoDraw = False
88.0297 	EXP 	level_text: text = 0.7943282347242783
88.0297 	EXP 	question_text: autoDraw = True
88.0297 	EXP 	level_text: autoDraw = True
88.4568 	DATA 	Keypress: down
88.4636 	EXP 	question_text: autoDraw = False
88.4636 	EXP 	level_text: autoDraw = False
88.4636 	EXP 	level_text: text = 0.7079457843841351
88.4636 	EXP 	question_text: autoDraw = True
88.4636 	EXP 	level_text: autoDraw = True
88.9072 	DATA 	Keypress: down
88.9141 	EXP 	question_text: autoDraw = False
88.9141 	EXP 	level_text: autoDraw = False
88.9141 	EXP 	level_text: text = 0.6309573444801908
88.9141 	EXP 	question_text: autoDraw = True
88.9141 	EXP 	level_text: autoDraw = True
89.2401 	DATA 	Keypress: down
89.2473 	EXP 	question_text: autoDraw = False
89.2473 	EXP 	level_text: autoDraw = False
89.2473 	EXP 	level_text: text = 0.562341325190347
89.2473 	EXP 	question_text: autoDraw = True
89.2473 	EXP 	level_text: autoDraw = True
89.6076 	DATA 	Keypress: down
89.6143 	EXP 	question_text: autoDraw = False
89.6143 	EXP 	level_text: autoDraw = False
89.6143 	EXP 	level_text: text = 0.5011872336272705
89.6143 	EXP 	question_text: autoDraw = True
89.6143 	EXP 	level_text: autoDraw = True
89.7918 	DATA 	Keypress: down
89.7979 	EXP 	question_text: autoDraw = False
89.7979 	EXP 	level_text: autoDraw = False
89.7979 	EXP 	level_text: text = 0.44668359215096154
89.7979 	EXP 	question_text: autoDraw = True
89.7979 	EXP 	level_text: autoDraw = True
89.9419 	DATA 	Keypress: down
89.9480 	EXP 	question_text: autoDraw = False
89.9480 	EXP 	level_text: autoDraw = False
89.9480 	EXP 	level_text: text = 0.39810717055349587
89.9480 	EXP 	question_text: autoDraw = True
89.9480 	EXP 	level_text: autoDraw = True
90.0914 	DATA 	Keypress: down
90.0986 	EXP 	question_text: autoDraw = False
90.0986 	EXP 	level_text: autoDraw = False
90.0986 	EXP 	level_text: text = 0.35481338923357425
90.0986 	EXP 	question_text: autoDraw = True
90.0986 	EXP 	level_text: autoDraw = True
91.9932 	DATA 	Keypress: down
92.0000 	EXP 	question_text: autoDraw = False
92.0000 	EXP 	level_text: autoDraw = False
92.0000 	EXP 	level_text: text = 0.3162277660168369
92.0000 	EXP 	question_text: autoDraw = True
92.0000 	EXP 	level_text: autoDraw = True
92.2777 	DATA 	Keypress: down
92.2842 	EXP 	question_text: autoDraw = False
92.2842 	EXP 	level_text: autoDraw = False
92.2842 	EXP 	level_text: text = 0.2818382931264445
92.2842 	EXP 	question_text: autoDraw = True
92.2842 	EXP 	level_text: autoDraw = True
92.4452 	DATA 	Keypress: down
92.4508 	EXP 	question_text: autoDraw = False
92.4508 	EXP 	level_text: autoDraw = False
92.4508 	EXP 	level_text: text = 0.25118864315095724
92.4508 	EXP 	question_text: autoDraw = True
92.4508 	EXP 	level_text: autoDraw = True
93.0788 	DATA 	Keypress: down
93.0849 	EXP 	question_text: autoDraw = False
93.0849 	EXP 	level_text: autoDraw = False
93.0849 	EXP 	level_text: text = 0.22387211385683328
93.0849 	EXP 	question_text: autoDraw = True
