trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,sound_1.started,sound_1.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_2.started,text_2.stopped,participant,input,session,date,expName,psychopyVersion,frameRate,
25,0,25,0,,,,,,,28.93169493327926,None,u,0.11530559998936951,28.930564999987837,None,28.930564999987837,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
26,0,26,0,,,,,,,29.07856413332823,None,u,0.12958780000917614,29.07779389998177,None,29.07779389998177,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
27,0,27,0,,,,,,,29.251485633322346,None,u,0.092137300001923,29.252917499979958,None,29.252917499979958,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
28,0,28,0,,,,,,,29.384284033331397,None,u,0.13415019999956712,29.38340639998205,None,29.38340639998205,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
29,0,29,0,,,,,,,29.5577706333211,None,u,0.08781009999802336,29.557721799996216,None,29.557721799996216,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
30,0,30,0,,,,,,,29.677900633316796,None,u,0.10704979998990893,29.676505799987353,None,29.676505799987353,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
31,0,31,0,,,,,,,29.824546233292978,None,u,0.11915659997612238,29.824675699986983,None,29.824675699986983,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
32,0,32,0,,,,,,,29.98451073328809,None,u,0.11536409996915609,29.984294699970633,None,29.984294699970633,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
33,0,33,0,,,,,,,30.144649733331363,None,u,0.09430160000920296,30.14330399996834,None,30.14330399996834,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
34,0,34,0,,,,,,,30.27786053327921,None,u,0.11342579999472946,30.276481099950615,None,30.276481099950615,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
35,0,35,0,,,,,,,30.425284433302778,None,u,0.11799449997488409,30.4246932999813,None,30.4246932999813,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
36,0,36,0,,,,,,,30.598205833296134,None,u,0.08377409999957308,30.59670469997218,None,30.59670469997218,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
